date,open,high,low,close,volume
2024-10-08,62531.05947172044,63156.370066437645,61905.74887700323,62531.05947172044,2966309.2272482584
2024-10-09,62531.05947172044,63082.07059157727,61832.920678872775,62457.49563522502,4342152.95307504
2024-10-10,62457.49563522502,61190.02859693678,59978.344862343976,60584.18672964038,3647500.7747469596
2024-10-11,60584.18672964038,61096.36201514073,59886.533064345866,60491.4475397433,7961552.604730655
2024-10-12,60491.4475397433,63090.302463170716,61840.98954310793,62465.64600313932,3642550.944975653
2024-10-13,62465.64600313932,63821.497459706006,62557.70543080094,63189.60144525347,1404071.7966714352
2024-10-14,63189.60144525347,63505.74614052723,62248.20661299204,62876.97637675964,1160599.813912704
2024-10-15,62876.97637675964,66965.87838064421,65639.8213830077,66302.84988182595,2892619.7347084214
2024-10-16,66302.84988182595,67965.53735776129,66619.68513285511,67292.6112453082,1934266.9637322065
2024-10-17,67292.6112453082,68191.64254906368,66841.31299363666,67516.47777135017,3362734.044235241
2024-10-18,67516.47777135017,67799.12646106521,66456.56950144017,67127.8479812527,3344262.6624702797
2024-10-19,67127.8479812527,68974.6784079417,67608.84319194285,68291.76079994228,5391167.675751175
2024-10-20,68291.76079994228,69355.01292351389,67981.64633096906,68668.32962724147,6993457.7161751455
2024-10-21,68668.32962724147,69718.34778785445,68337.78644552069,69028.06711668757,5701708.67020848
2024-10-22,69028.06711668757,68243.61281399232,66892.25414440832,67567.93347920032,1437170.5425103316
2024-10-23,67567.93347920032,68131.91802683238,66782.77113521194,67457.34458102216,1917845.1471623096
2024-10-24,67457.34458102216,67227.62618326144,65896.38606082062,66562.00612204103,1318906.245976679
2024-10-25,66562.00612204103,68907.89432472696,67543.38156582149,68225.63794527423,1443357.9700626198
2024-10-26,68225.63794527423,67114.18082242216,65785.18714277023,66449.6839825962,11349884.25366113
2024-10-27,66449.6839825962,67696.98144890668,66356.4471627897,67026.71430584819,3850777.6660266803
2024-10-28,67026.71430584819,68698.63681171623,67338.26776593969,68018.45228882796,2148258.0186163094
2024-10-29,68018.45228882796,70442.68406286063,69047.7794279525,69745.23174540656,518394.3934976306
2024-10-30,69745.23174540656,73400.84261925318,71947.36058718877,72674.10160322097,8451790.927530551
2024-10-31,72674.10160322097,73112.95111818537,71665.16990792427,72389.06051305482,2653882.333850021
2024-11-01,72389.06051305482,70476.82281080648,69081.24216108755,69779.03248594701,1677031.739060332
2024-11-02,69779.03248594701,70314.03144468763,68921.67438637698,69617.8529155323,2591027.5299687404
2024-11-03,69617.8529155323,69961.24556282141,68575.87436355762,69268.55996318952,3206191.190423323
2024-11-04,69268.55996318952,69540.0155330258,68162.98552247083,68851.50052774831,854767.6335050714
2024-11-05,68851.50052774831,68560.9373697485,67203.29504559505,67882.11620767177,1531744.7525924866
2024-11-06,67882.11620767177,69866.08675998222,68482.59989344791,69174.34332671507,1977001.4493716334
2024-11-07,69174.34332671507,76508.88403177759,74993.85662520773,75751.37032849266,1766150.046405238
2024-11-08,75751.37032849266,76624.87523829698,75107.55097615247,75866.21310722473,541909.1645431871
2024-11-09,75866.21310722473,77079.29774345763,75552.97501586442,76316.13637966102,1690101.189551449
2024-11-10,76316.13637966102,77374.86562153105,75842.69006466905,76608.77784310005,1234675.1080250798
2024-11-11,76608.77784310005,81418.71870875936,79806.46685314037,80612.59278094987,1751675.4770477242
2024-11-12,80612.59278094987,89340.43403202368,87571.31652643904,88455.87527923136,671158.7084260337
2024-11-13,88455.87527923136,88532.74297721527,86779.61935390407,87656.18116555967,2327573.8503483473
2024-11-14,87656.18116555967,91204.08554915548,89398.0640531326,90301.07480114404,2199806.7755731926
2024-11-15,90301.07480114404,88003.0229648461,86260.38884673033,87131.70590578821,3974739.895833854
2024-11-16,87131.70590578821,92128.333328156,90304.00989591528,91216.17161203564,4209543.1229207
2024-11-17,91216.17161203564,90851.38999271813,89052.35256711974,89951.87127991894,1668787.8326670635
2024-11-18,89951.87127991894,90792.78084872942,88994.90400023974,89893.84242448458,1878224.4940860316
2024-11-19,89893.84242448458,92333.71746577017,90505.32702090344,91419.5222433368,6463722.674843538
2024-11-20,91419.5222433368,92781.90292420523,90944.63751976553,91863.27022198538,6149844.840018005
2024-11-21,91863.27022198538,94513.79102265055,92642.23080438023,93578.01091351539,2538984.127292517
2024-11-22,93578.01091351539,99429.39711133578,97460.49815863605,98444.94763498592,13965389.504192242
2024-11-23,98444.94763498592,99494.51609227799,97524.32765480714,98509.42187354257,15119403.473295728
2024-11-24,98509.42187354257,98458.89461088477,96509.21352948112,97484.05407018294,1660949.0894337776
2024-11-25,97484.05407018294,98693.79104858101,96739.4585525695,97716.62480057526,975195.5220818004
2024-11-26,97716.62480057526,94381.27939307911,92512.34316747359,93446.81128027635,5360990.978443193
2024-11-27,93446.81128027635,92818.19842413356,90980.21429692299,91899.20636052827,4475125.5800963845
2024-11-28,91899.20636052827,97054.34739162306,95132.47912644241,96093.41325903274,1366841.760747677
2024-11-29,96093.41325903274,96741.24283699767,94825.57466200762,95783.40874950265,2782610.536269302
2024-11-30,95783.40874950265,98479.82336485267,96529.72785267737,97504.77560876502,1567782.2547428873
2024-12-01,97504.77560876502,97419.64781888487,95490.54588187725,96455.09685038106,1258573.504370458
2024-12-02,96455.09685038106,97957.4334178448,96017.68226105579,96987.5578394503,462139.5432957578
2024-12-03,96987.5578394503,96881.41071344094,94962.96693693715,95922.18882518905,3405873.420886626
