date,open,high,low,close,volume
2024-10-09,0.028678754618055084,0.028965542164235636,0.02839196707187453,0.028678754618055084,3272927.840766858
2024-10-10,0.028678754618055084,0.028710307241346784,0.028141786305874567,0.028426046773610675,3772845.8538225754
2024-10-11,0.028426046773610675,0.028633741959781425,0.028066737168498626,0.028350239564140026,2682972.5321540013
2024-10-12,0.028350239564140026,0.02879460720793052,0.028224416966189318,0.02850951208705992,2996801.078723114
2024-10-13,0.02850951208705992,0.028627429952584296,0.02806055015154302,0.02834399005206366,3048709.5612348597
2024-10-14,0.02834399005206366,0.028574639925988108,0.028008805472008142,0.028291722698998125,2662887.6132988306
2024-10-15,0.028291722698998125,0.028580402402415675,0.0280144538399916,0.028297428121203637,4376098.570132729
2024-10-16,0.028297428121203637,0.027938770489969372,0.027385527509969976,0.027662148999969674,4994541.8624155875
2024-10-17,0.027662148999969674,0.02786734844182543,0.027315519759809087,0.02759143410081726,6047208.024168747
2024-10-18,0.02759143410081726,0.027972571645863482,0.027418659336044406,0.027695615490953944,6589818.141725565
2024-10-19,0.027695615490953944,0.02806250057272942,0.02750680749208131,0.027784654032405365,9800083.819130782
2024-10-20,0.027784654032405365,0.028035773651125088,0.027480609816449345,0.027758191733787217,10345900.070436712
2024-10-21,0.027758191733787217,0.028011381701029212,0.02745670087526626,0.027734041288147736,10093115.89196258
2024-10-22,0.027734041288147736,0.027772049754502294,0.02722210817520522,0.027497078964853757,8907622.149346827
2024-10-23,0.027497078964853757,0.027845722785015816,0.027294322333827382,0.0275700225594216,8937575.01656138
2024-10-24,0.0275700225594216,0.027818564206576107,0.027267701549020147,0.027543132877798127,9221494.23263207
2024-10-25,0.027543132877798127,0.027986896849293497,0.027432700872079763,0.02770979886068663,9862045.218737613
2024-10-26,0.02770979886068663,0.027588356107607123,0.02704205202626837,0.027315204066937746,9754131.60128332
2024-10-27,0.027315204066937746,0.027501495791487286,0.02695691171640833,0.027229203753947807,10539113.640631646
2024-10-28,0.027229203753947807,0.02763902404043239,0.027091716633691157,0.027365370337061774,9573305.405177953
2024-10-29,0.027365370337061774,0.027937556982119915,0.027384338031978928,0.02766094750704942,11711714.929113574
2024-10-30,0.02766094750704942,0.02839236714269266,0.027830142050758153,0.028111254596725407,10193487.044731844
